id;external_id;name;version;is_active;created_time
ce053b16-2055-4560-9e39-456558c7f825;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;2023-07-17T18:06:50
1754eb5e-1018-456a-b354-e59e328041bc;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;2023-07-18T04:00:38
c7c7dfeb-a520-45ae-8516-2f3c7e6c5abf;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;2023-07-18T08:19:14
269a0fab-1f93-4411-8c39-765185c6718a;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;2023-07-17T15:36:37
bf4036f1-1298-424d-99fa-d967e58ab538;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;2023-07-17T10:06:16
3c4bf230-a07e-4cfa-8405-8a633e395537;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;2023-07-17T10:19:33
0748440f-1401-4f51-b871-1faf7e3e63a2;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;2023-07-17T22:03:39
667eb738-553d-4205-b7d9-07464a8a4a8f;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;2023-07-17T22:26:35
3665802a-0b75-4020-bee6-e2b7787d1a67;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;2023-07-18T05:56:28
3c7ad06e-6633-4936-b806-fb6475ec836d;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;2023-07-17T22:16:49
