id;png_content;png_content_content_type;raw_width;raw_height;raw_format;raw_content;raw_content_content_type
3db9e55e-8c9c-4892-81eb-d1c3f183a3e0;../fake-data/blob/hipster.png;image/png;14287;12075;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
00d4e39a-a759-40e7-a1ca-a7879bc91ebd;../fake-data/blob/hipster.png;image/png;22591;1937;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
5b4fabea-a24b-40f2-819e-9856f4737925;../fake-data/blob/hipster.png;image/png;20912;32277;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
eefa139d-6a67-4c43-9137-4aac4a4d2888;../fake-data/blob/hipster.png;image/png;30537;22278;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
e8876f26-d665-496b-b231-0d7061eea776;../fake-data/blob/hipster.png;image/png;27572;30443;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
195259cd-e699-41da-80bc-a90439d5d74d;../fake-data/blob/hipster.png;image/png;1583;18856;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
2e166c04-92f6-4020-8497-40cc03059cc8;../fake-data/blob/hipster.png;image/png;1611;4568;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
85344310-52df-4609-9847-df3fe1461ecd;../fake-data/blob/hipster.png;image/png;4764;6069;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
e39610a2-11a1-44e0-abf9-f75837f43532;../fake-data/blob/hipster.png;image/png;28198;30694;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
65d4b597-9dcd-4dfe-9311-6be810295219;../fake-data/blob/hipster.png;image/png;16769;15629;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
